cik,period_end,grain,revenue,deferred_revenue,rpo,implied_billings,ttm_revenue,revenue_prior_year,revenue_yoy,rpo_coverage,deferred_revenue_ratio
0000796343,2007-11-30,annual,3157881000.0,,,,3157881000.0,,,,
0000796343,2008-11-28,annual,3579889000.0,275320000.0,,,3579889000.0,3157881000.0,0.13363644798521546,,0.0769074124923985
0000796343,2009-11-27,annual,2945853000.0,318293000.0,,2988826000.0,2945853000.0,3579889000.0,-0.17711051934850497,,0.10804782180237778
0000796343,2010-12-03,annual,3800000000.0,429677000.0,,3911384000.0,3800000000.0,2945853000.0,0.2899489553619954,,0.11307289473684211
0000796343,2011-12-02,annual,4216258000.0,531705000.0,,4318286000.0,4216258000.0,3800000000.0,0.10954157894736838,,0.12610826946548337
0000796343,2012-11-30,annual,4403677000.0,619565000.0,,4491537000.0,4403677000.0,4216258000.0,0.04445150178191182,,0.14069265298067957
0000796343,2013-11-29,annual,4055240000.0,828812000.0,,4264487000.0,4055240000.0,4403677000.0,-0.079124104697052,,0.20438050522287213
0000796343,2014-11-28,annual,4147065000.0,1155324000.0,,4473577000.0,4147065000.0,4055240000.0,0.022643542675649275,,0.2785883510386261
0000796343,2015-11-27,annual,4795511000.0,1485294000.0,,5125481000.0,4795511000.0,4147065000.0,0.15636263236771075,,0.30972590825044505
0000796343,2016-12-02,annual,5854430000.0,2014750000.0,,6383886000.0,5854430000.0,4795511000.0,0.22081463268460855,,0.34414110340374726
0000796343,2017-12-01,annual,7301505000.0,2494542000.0,,7781297000.0,7301505000.0,5854430000.0,0.2471760700870964,,0.3416476466153211
0000796343,2018-11-30,annual,9030000000.0,3053604000.0,,9589062000.0,9030000000.0,7301505000.0,0.23673133141729008,,0.3381621262458472
0000796343,2019-11-29,annual,11171000000.0,3501000000.0,9820000000.0,11618396000.0,11171000000.0,9030000000.0,0.23709856035437427,0.8790618565929639,0.3134007698505058
0000796343,2020-11-27,annual,12868000000.0,3759000000.0,11340000000.0,13126000000.0,12868000000.0,11171000000.0,0.151911198639334,0.8812558284115636,0.29211998756605534
0000796343,2021-12-03,annual,15785000000.0,4878000000.0,13990000000.0,16904000000.0,15785000000.0,12868000000.0,0.22668635374572577,0.8862844472600571,0.30902755780804564
0000796343,2022-12-02,annual,17606000000.0,5414000000.0,15190000000.0,18142000000.0,17606000000.0,15785000000.0,0.11536268609439349,0.8627740542996706,0.3075088038168806
0000796343,2023-12-01,annual,19409000000.0,5950000000.0,17220000000.0,19945000000.0,19409000000.0,17606000000.0,0.10240826990798602,0.8872172703385027,0.3065588129218404
0000796343,2024-11-29,annual,21505000000.0,6259000000.0,19960000000.0,21814000000.0,21505000000.0,19409000000.0,0.10799113813179462,0.9281562427342478,0.29104859335038363
0000796343,2025-11-28,annual,23769000000.0,7030000000.0,22520000000.0,24540000000.0,23769000000.0,21505000000.0,0.10527784236224136,0.947452564264378,0.29576338928856916
0000896878,2008-07-31,annual,2993000000.0,,,,2993000000.0,,,,
0000896878,2009-07-31,annual,3109000000.0,380000000.0,,,3109000000.0,2993000000.0,0.03875709989976617,,0.12222579607590865
0000896878,2010-07-31,annual,3403000000.0,416000000.0,,3439000000.0,3403000000.0,3109000000.0,0.09456416854293992,,0.12224507787246547
0000896878,2011-07-31,annual,3449000000.0,446000000.0,,3479000000.0,3449000000.0,3403000000.0,0.013517484572436178,,0.12931284430269643
0000896878,2012-07-31,annual,3808000000.0,471000000.0,,3833000000.0,3808000000.0,3449000000.0,0.104088141490287,,0.12368697478991597
0000896878,2013-07-31,annual,3946000000.0,527000000.0,,4002000000.0,3946000000.0,3808000000.0,0.03623949579831942,,0.13355296502787634
0000896878,2014-07-31,annual,4243000000.0,498000000.0,,4214000000.0,4243000000.0,3946000000.0,0.07526609224531167,,0.11736978552910676
0000896878,2015-07-31,annual,4192000000.0,843000000.0,,4537000000.0,4192000000.0,4243000000.0,-0.01201979731322178,,0.20109732824427481
0000896878,2016-07-31,annual,4694000000.0,1005000000.0,,4856000000.0,4694000000.0,4192000000.0,0.1197519083969465,,0.21410311035364296
0000896878,2017-07-31,annual,5196000000.0,1089000000.0,,5280000000.0,5196000000.0,4694000000.0,0.10694503621644658,,0.20958429561200922
0000896878,2018-07-31,annual,6025000000.0,584000000.0,,5520000000.0,6025000000.0,5196000000.0,0.15954580446497313,,0.09692946058091287
0000896878,2019-07-31,annual,6784000000.0,623000000.0,,6823000000.0,6784000000.0,6025000000.0,0.12597510373443987,,0.09183372641509434
0000896878,2020-07-31,annual,7679000000.0,665000000.0,,7721000000.0,7679000000.0,6784000000.0,0.13192806603773577,,0.08659981768459435
0000896878,2021-07-31,annual,9633000000.0,692000000.0,,9660000000.0,9633000000.0,7679000000.0,0.25446021617398107,,0.07183639572303539
0000896878,2022-07-31,annual,12726000000.0,814000000.0,,12848000000.0,12726000000.0,9633000000.0,0.3210837745250701,,0.06396353921106396
0000896878,2023-07-31,annual,14368000000.0,926000000.0,,14480000000.0,14368000000.0,12726000000.0,0.1290271884331291,,0.06444877505567928
0000896878,2024-07-31,annual,16285000000.0,876000000.0,,16235000000.0,16285000000.0,14368000000.0,0.13342149220489974,,0.05379183297513049
0000896878,2025-07-31,annual,18831000000.0,1023000000.0,,18978000000.0,18831000000.0,16285000000.0,0.1563401903592263,,0.05432531464075195
0001108524,2008-01-31,annual,748700000.0,,,,748700000.0,,,,
0001108524,2009-01-31,annual,1076769000.0,594026000.0,,,1076769000.0,748700000.0,0.43818485374649385,,0.551674500287434
0001108524,2010-01-31,annual,1305583000.0,704348000.0,,1415905000.0,1305583000.0,1076769000.0,0.21250054561377607,,0.5394892549918312
0001108524,2011-01-31,annual,1657139000.0,934941000.0,,1887732000.0,1657139000.0,1305583000.0,0.26927127574424614,,0.5641898476832662
0001108524,2012-01-31,annual,2266539000.0,1380295000.0,,2711893000.0,2266539000.0,1657139000.0,0.36774223526209937,,0.6089879768228122
0001108524,2013-01-31,annual,3050195000.0,1862995000.0,,3532895000.0,3050195000.0,2266539000.0,0.3457500620990859,,0.6107789829830552
0001108524,2014-01-31,annual,4071003000.0,2522115000.0,,4730123000.0,4071003000.0,3050195000.0,0.33466975062250115,,0.61953159946087
0001108524,2015-01-31,annual,5373586000.0,3321449000.0,,6172920000.0,5373586000.0,4071003000.0,0.31996611154548393,,0.6181066051608739
0001108524,2016-01-31,annual,6667216000.0,4291553000.0,,7637320000.0,6667216000.0,5373586000.0,0.24073867990574627,,0.6436799107753521
0001108524,2017-01-31,annual,8437000000.0,5579915000.0,,9725362000.0,8437000000.0,6667216000.0,0.2654457272720727,,0.6613624511082138
0001108524,2018-01-31,annual,10540000000.0,6995000000.0,,11955085000.0,10540000000.0,8437000000.0,0.24925921536091034,,0.6636622390891841
0001108524,2019-01-31,annual,13282000000.0,8564000000.0,25700000000.0,14851000000.0,13282000000.0,10540000000.0,0.2601518026565466,1.9349495557897907,0.6447824122873062
0001108524,2020-01-31,annual,17098000000.0,10662000000.0,30800000000.0,19196000000.0,17098000000.0,13282000000.0,0.2873061285950911,1.801380278395134,0.6235817054626273
0001108524,2021-01-31,annual,21252000000.0,12607000000.0,36100000000.0,23197000000.0,21252000000.0,17098000000.0,0.2429523920926424,1.6986636551853944,0.5932147562582345
0001108524,2022-01-31,annual,26492000000.0,15628000000.0,43700000000.0,29513000000.0,26492000000.0,21252000000.0,0.24656502917372491,1.6495545825154763,0.5899139362826513
0001108524,2023-01-31,annual,31352000000.0,17376000000.0,48600000000.0,33100000000.0,31352000000.0,26492000000.0,0.18345160803261362,1.55014034192396,0.5542230160755295
0001108524,2024-01-31,annual,34857000000.0,19003000000.0,56900000000.0,36484000000.0,34857000000.0,31352000000.0,0.11179510079101806,1.63238373927762,0.5451702670912586
0001108524,2025-01-31,annual,37895000000.0,20743000000.0,63400000000.0,39635000000.0,37895000000.0,34857000000.0,0.08715609490202825,1.6730439371948806,0.5473809209658266
0001108524,2026-01-31,annual,41525000000.0,24317000000.0,72400000000.0,45099000000.0,41525000000.0,37895000000.0,0.09579100145137875,1.7435279951836242,0.5855990367248646
0001261333,2017-01-31,annual,381459000.0,,,,381459000.0,,,,
0001261333,2018-01-31,annual,518504000.0,277924000.0,,,518504000.0,381459000.0,0.3592653469966629,,0.5360112940305186
0001261333,2019-01-31,annual,700969000.0,388772000.0,570700000.0,811817000.0,700969000.0,518504000.0,0.3519066391001806,0.8141586860474571,0.5546208177537095
0001261333,2020-01-31,annual,973971000.0,519038000.0,768700000.0,1104237000.0,973971000.0,700969000.0,0.38946372806786034,0.7892432115535267,0.5329090907224137
0001261333,2021-01-31,annual,1453047000.0,796134000.0,1100000000.0,1730143000.0,1453047000.0,973971000.0,0.4918791216576264,0.757029882722307,0.5479065715011283
0001261333,2022-01-31,annual,2107213000.0,1046616000.0,1600000000.0,2357695000.0,2107213000.0,1453047000.0,0.4502029184190188,0.7592967583248584,0.4966825850068313
0001261333,2023-01-31,annual,2515915000.0,1189792000.0,1900000000.0,2659091000.0,2515915000.0,2107213000.0,0.19395381482555396,0.7551924448957934,0.4729062786302399
0001261333,2024-01-31,annual,2761882000.0,1342039000.0,2200000000.0,2914129000.0,2761882000.0,2515915000.0,0.09776443162825443,0.7965582888769325,0.4859146770209589
0001261333,2025-01-31,annual,2976739000.0,1476965000.0,2400000000.0,3111665000.0,2976739000.0,2761882000.0,0.07779369285146864,0.806251404641119,0.496168794106571
0001261333,2026-01-31,annual,3219500000.0,1661124000.0,2400000000.0,3403659000.0,3219500000.0,2976739000.0,0.08155266551753448,0.7454573691567014,0.5159571362012735
0001327567,2011-07-31,annual,118597000.0,,,,118597000.0,,,,
0001327567,2012-07-31,annual,255138000.0,135808000.0,,,255138000.0,118597000.0,1.1513023095019266,,0.5322923280734347
0001327567,2013-07-31,annual,396107000.0,249230000.0,,509529000.0,396107000.0,255138000.0,0.5525205966966897,,0.6291986761152921
0001327567,2014-07-31,annual,598200000.0,422578000.0,,771548000.0,598200000.0,396107000.0,0.5101980020550003,,0.7064159144098964
0001327567,2015-07-31,annual,928100000.0,713700000.0,,1219222000.0,928100000.0,598200000.0,0.5514877967235039,,0.7689904105161082
0001327567,2016-07-31,annual,1378500000.0,1240800000.0,,1905600000.0,1378500000.0,928100000.0,0.48529253313220555,,0.9001088139281828
0001327567,2017-07-31,annual,1755100000.0,1773500000.0,,2287800000.0,1755100000.0,1378500000.0,0.2731955023576351,,1.01048373312062
